"year","tournaments","sec","date","kickoff","home","score","away","venue","att","broadcast"
"2023","ＦＵＪＩＦＩＬＭ　ＳＵＰＥＲ　ＣＵＰ","","02/11(土・祝)","13:35","横浜FM","2-1","甲府","国立","50,923","日本テレビ系全国ネットにて生中継／ＴＶｅｒ（生配信）"
"2023","Ｊ１","第１節第１日","02/17(金)","19:04","川崎Ｆ","1-2","横浜FM","等々力","22,563","ＤＡＺＮ"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","横浜FC","0-1","名古屋","ニッパツ","11,186","ＤＡＺＮ／ＮＨＫ名古屋"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","京都","0-2","鹿島","サンガＳ","15,988","ＤＡＺＮ／ＮＨＫ京都／ＫＢＳ京都（録）"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","広島","0-0","札幌","Ｅスタ","13,121","ＤＡＺＮ／ＮＨＫ広島"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","FC東京","2-0","浦和","味スタ","38,051","ＤＡＺＮ／ＮＨＫ総合"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","神戸","1-0","福岡","ノエスタ","18,981","ＤＡＺＮ／ＮＨＫ福岡"
"2023","Ｊ１","第１節第２日","02/18(土)","14:03","Ｃ大阪","2-2","新潟","ヨドコウ","17,928","ＤＡＺＮ／ＮＨＫ新潟"
"2023","Ｊ１","第１節第２日","02/18(土)","15:03","柏","2-2","Ｇ大阪","三協Ｆ柏","12,334","ＤＡＺＮ"
"2023","Ｊ１","第１節第２日","02/18(土)","15:04","鳥栖","1-5","湘南","駅スタ","9,663","ＤＡＺＮ／サガテレビ"
"2023","Ｊ２","第１節第１日","02/18(土)","13:09","甲府","1-2","山形","ＪＩＴス","9,573","ＤＡＺＮ／ＮＨＫ甲府／ＮＨＫ山形"
"2023","Ｊ２","第１節第１日","02/18(土)","14:03","清水","0-0","水戸","アイスタ","14,324","ＤＡＺＮ／テレビ静岡"
"2023","Ｊ２","第１節第１日","02/18(土)","14:03","長崎","0-1","千葉","トラスタ","11,165","ＤＡＺＮ／長崎国際テレビ"
"2023","Ｊ２","第１節第１日","02/18(土)","14:03","群馬","0-0","秋田","正田スタ","3,374","ＤＡＺＮ／群馬テレビ"
"2023","Ｊ２","第１節第１日","02/18(土)","14:04","いわき","2-3","藤枝","いわきＧ","4,318","ＤＡＺＮ／ＮＨＫ福島"
"2023","Ｊ２","第１節第１日","02/18(土)","14:04","磐田","2-3","岡山","ヤマハ","10,737","ＤＡＺＮ"
"2023","Ｊ２","第１節第１日","02/18(土)","14:05","山口","1-0","大宮","みらスタ","4,596","ＤＡＺＮ／ＮＨＫ山口"
"2023","Ｊ２","第１節第２日","02/19(日)","14:03","徳島","1-2","大分","鳴門大塚","12,070","ＤＡＺＮ／ＮＨＫ徳島／ＮＨＫ大分"
"2023","Ｊ２","第１節第２日","02/19(日)","14:03","東京Ｖ","1-0","金沢","味スタ","6,597","ＤＡＺＮ"
"2023","Ｊ２","第１節第２日","02/19(日)","14:03","町田","0-0","仙台","Ｇスタ","8,055","ＤＡＺＮ"
"2023","Ｊ２","第１節第２日","02/19(日)","16:03","栃木","1-1","熊本","カンセキ","6,882","ＤＡＺＮ／とちぎテレビ"
"2023","Ｊ１","第２節第１日","02/24(金)","19:00","湘南","vs","横浜FC","レモンＳ"," ","ＤＡＺＮ"
"2023","Ｊ１","第２節第２日","02/25(土)","14:00","横浜FM","vs","浦和","日産ス"," ","ＤＡＺＮ／ＮＨＫ　ＢＳ１"
"2023","Ｊ１","第２節第２日","02/25(土)","15:00","札幌","vs","神戸","札幌ド"," ","ＤＡＺＮ／ＮＨＫ札幌"
"2023","Ｊ１","第２節第２日","02/25(土)","15:00","Ｇ大阪","vs","鳥栖","パナスタ"," ","ＤＡＺＮ"
"2023","Ｊ１","第２節第２日","02/25(土)","15:00","福岡","vs","Ｃ大阪","ベススタ"," ","ＤＡＺＮ"
"2023","Ｊ１","第２節第２日","02/25(土)","16:00","鹿島","vs","川崎Ｆ","カシマ"," ","ＤＡＺＮ"
"2023","Ｊ１","第２節第２日","02/25(土)","16:00","名古屋","vs","京都","豊田ス"," ","ＤＡＺＮ／中京テレビ（録）"
"2023","Ｊ２","第２節第１日","02/25(土)","13:00","甲府","vs","徳島","ＪＩＴス"," ","ＤＡＺＮ／山梨放送"
"2023","Ｊ２","第２節第１日","02/25(土)","14:00","大宮","vs","金沢","ＮＡＣＫ"," ","ＤＡＺＮ／テレ玉"
"2023","Ｊ２","第２節第１日","02/25(土)","14:00","千葉","vs","山形","フクアリ"," ","ＤＡＺＮ"
"2023","Ｊ２","第２節第１日","02/25(土)","14:00","藤枝","vs","長崎","藤枝サ"," ","ＤＡＺＮ"
"2023","Ｊ１","第２節第３日","02/26(日)","14:00","広島","vs","新潟","Ｅスタ"," ","ＤＡＺＮ／広島テレビ放送"
"2023","Ｊ１","第２節第３日","02/26(日)","15:00","柏","vs","FC東京","三協Ｆ柏"," ","ＤＡＺＮ"
"2023","Ｊ２","第２節第２日","02/26(日)","13:00","岡山","vs","清水","Ｃスタ"," ","ＤＡＺＮ／ＮＨＫ岡山"
"2023","Ｊ２","第２節第２日","02/26(日)","13:00","熊本","vs","秋田","えがおＳ"," ","ＤＡＺＮ"
"2023","Ｊ２","第２節第２日","02/26(日)","13:05","仙台","vs","栃木","ユアスタ"," ","ＤＡＺＮ／ＮＨＫ仙台"
"2023","Ｊ２","第２節第２日","02/26(日)","13:10","大分","vs","東京Ｖ","レゾド"," ","ＤＡＺＮ／ＮＨＫ大分"
"2023","Ｊ２","第２節第２日","02/26(日)","13:15","山口","vs","磐田","みらスタ"," ","ＤＡＺＮ／山口放送"
"2023","Ｊ２","第２節第２日","02/26(日)","14:00","町田","vs","群馬","Ｇスタ"," ","ＤＡＺＮ"
"2023","Ｊ２","第２節第２日","02/26(日)","15:00","水戸","vs","いわき","Ｋｓスタ"," ","ＤＡＺＮ"
"2023","Ｊ１","第３節第１日","03/03(金)","19:00","横浜FM","vs","広島","ニッパツ"," ","ＤＡＺＮ"
"2023","Ｊ１","第３節第２日","03/04(土)","13:00","川崎Ｆ","vs","湘南","等々力"," ","ＤＡＺＮ／ＮＨＫ　ＢＳ１"
"2023","Ｊ１","第３節第２日","03/04(土)","14:00","横浜FC","vs","鹿島","ニッパツ"," ","ＤＡＺＮ"
"2023","Ｊ１","第３節第２日","03/04(土)","14:00","新潟","vs","札幌","デンカＳ"," ","ＤＡＺＮ／ＮＨＫ新潟"
"2023","Ｊ１","第３節第２日","03/04(土)","14:00","京都","vs","FC東京","サンガＳ"," ","ＤＡＺＮ／ＫＢＳ京都（録）"
"2023","Ｊ１","第３節第２日","03/04(土)","14:00","神戸","vs","Ｇ大阪","ノエスタ"," ","ＤＡＺＮ"
"2023","Ｊ１","第３節第２日","03/04(土)","15:00","浦和","vs","Ｃ大阪","浦和駒場"," ","ＤＡＺＮ／テレ玉"
"2023","Ｊ１","第３節第２日","03/04(土)","15:00","福岡","vs","柏","ベススタ"," ","ＤＡＺＮ"
"2023","Ｊ１","第３節第２日","03/04(土)","15:00","鳥栖","vs","名古屋","駅スタ"," ","ＤＡＺＮ"
"2023","Ｊ２","第３節第１日","03/04(土)","14:00","磐田","vs","山形","ヤマハ"," ","ＤＡＺＮ"
"2023","Ｊ２","第３節第１日","03/04(土)","14:00","藤枝","vs","秋田","藤枝サ"," ","ＤＡＺＮ"
"2023","Ｊ２","第３節第１日","03/04(土)","14:00","徳島","vs","仙台","鳴門大塚"," ","ＤＡＺＮ／四国放送"
"2023","Ｊ２","第３節第１日","03/04(土)","14:00","長崎","vs","清水","トラスタ"," ","ＤＡＺＮ"
"2023","Ｊ３","第１節第１日","03/04(土)","14:00","相模原","vs","鳥取","ギオンス"," ","ＤＡＺＮ／ＮＨＫ鳥取"
